Handle,"Option1 Name","Option1 Value","Option2 Name","Option2 Value","Option3 Name","Option3 Value",SKU,grn_inventory
616906998206-8grain-hearty-wheat-crackers-5-oz,Title,"Default Title",,,,,KHLV00272283,0
616906998183-8grain-rosemary-sea-salt-crackers-5-oz,Title,"Default Title",,,,,KHLV00272276,0
616906998190-8grain-seed-celebration-crackers-5-oz,Title,"Default Title",,,,,KHLV00272277,0
850022817045-8th-wonder-at-ease-sparkling-oolong-tea-12-fo,Title,"Default Title",,,,,KHCH00389222,168
860126001684-8th-wonder-gut-health-sparkling-green-tea-12-fo,Title,"Default Title",,,,,KHCH00389219,564
850022817021-8th-wonder-herbal-boost-sparkling-rooibos-tea-12-fo,Title,"Default Title",,,,,KHCH00389220,288
850022817007-8th-wonder-loosen-up-sparkling-chai-tea-12-fo,Title,"Default Title",,,,,KHCH00389223,372
855740007006-a-cajun-life-all-purpose-cajun-seasoning-8-oz,Title,"Default Title",,,,,KHRM00299464,0
855740007044-a-cajun-life-blackening-rub-8-oz,Title,"Default Title",,,,,KHRM00299468,0
855740007068-a-cajun-life-chicken-breading-1-lb,Title,"Default Title",,,,,KHFM00299470,0
855740007051-a-cajun-life-fish-fry-1-lb,Title,"Default Title",,,,,KHFM00299469,0
855740007099-a-cajun-life-gumbo-mix-5-oz,Title,"Default Title",,,,,KHRM00323512,0
855740007075-a-cajun-life-hush-puppy-mix-1-lb,Title,"Default Title",,,,,KHFM00299471,3
855740007105-a-cajun-life-jambalaya-mix-8-oz,Title,"Default Title",,,,,KHRM00323498,0
855740007013-a-cajun-life-mesquite-bbq-rub-8-oz,Title,"Default Title",,,,,KHRM00299465,96
855740007112-a-cajun-life-red-beans-and-rice-mix-8-oz,Title,"Default Title",,,,,KHRM00323487,0
812446030158-a-dozen-cousins-classic-refried-pinto-beans-10-oz,Title,"Default Title",,,,,KHRM00367927,293
812446030172-a-dozen-cousins-creole-red-beans-10-oz,Title,"Default Title",,,,,KHRM00387036,168
812446030004-a-dozen-cousins-cuban-black-beans-10-oz,Title,"Default Title",,,,,KHRM00342082,432
812446030011-a-dozen-cousins-mexican-cowboy-pinto-beans-10-oz,Title,"Default Title",,,,,KHRM00342083,750
812446030165-a-dozen-cousins-refried-black-beans-10-oz,Title,"Default Title",,,,,KHRM00371517,214
812446030127-a-dozen-cousins-rice-sea-salt-rte-8-oz,Title,"Default Title",,,,,KHRM00386960,468
812446030141-a-dozen-cousins-rice-spanish-yellow-rte-8-oz,Title,"Default Title",,,,,KHRM00386959,300
812446030028-a-dozen-cousins-trini-chickpea-curry-10-oz,Title,"Default Title",,,,,KHRM00342080,803
602573890691-a-frame-hot-sauce-double-barrel-5-oz,Title,"Default Title",,,,,KHRM00339322,0
817252012190-a-la-maison-de-provence-deodorant-honeysuckle-2-4-oz,Title,"Default Title",,,,,KHFM00304930,181
817252012176-a-la-maison-de-provence-deodorant-lavender-aloe-2-4-oz,Title,"Default Title",,,,,KHFM00304928,0
817252012206-a-la-maison-de-provence-deodorant-unscented-2-4-oz,Title,"Default Title",,,,,KHFM00304932,0
817252011537-a-la-maison-de-provence-fresh-sea-salt-mini-soap-bar-3-5-oz,Title,"Default Title",,,,,KHFM00292625,0
817252011018-a-la-maison-de-provence-hand-body-bar-soap-coconut-cream-8-8-oz,Title,"Default Title",,,,,KHFM00727131,232
182741000294-a-la-maison-de-provence-hand-body-bar-soap-lavender-flowers-8-8-oz,Title,"Default Title",,,,,KHFM00060237,233
817252011209-a-la-maison-de-provence-hand-body-liquid-soap-pure-coconut-16-9-oz,Title,"Default Title",,,,,KHFM00727099,125
182741000300-a-la-maison-de-provence-hand-body-liquid-soap-white-tea-16-9-oz,Title,"Default Title",,,,,KHFM00111473,241
817252011964-a-la-maison-de-provence-hand-cream-honeysuckle-1-7-oz,Title,"Default Title",,,,,KHFM00292628,0
817252011940-a-la-maison-de-provence-hand-cream-sweet-almond-1-7-oz,Title,"Default Title",,,,,KHFM00292626,0
817252011025-a-la-maison-de-provence-honey-crisp-apple-bar-soap-8-8-oz,Title,"Default Title",,,,,KHFM00762708,0
817252011513-a-la-maison-de-provence-mini-soap-bar-coconut-creme-3-5-oz,Title,"Default Title",,,,,KHFM00292851,0
817252011520-a-la-maison-de-provence-mini-soap-bar-fig-basil-3-5-oz,Title,"Default Title",,,,,KHFM00292852,0
817252011544-a-la-maison-de-provence-sweet-almond-mini-soap-bar-3-5-oz,Title,"Default Title",,,,,KHFM00292624,0
817252010103-a-la-maison-de-provence-traditional-french-milled-bar-soap-value-pack-lavender-flowers-4-bars-14-oz,Title,"Default Title",,,,,KHFM00762732,863
182741000546-a-la-maison-bar-soap-oat-milk-8-oz,Title,"Default Title",,,,,KHFM00060246,212
817252014484-a-la-maison-cranberry-vines-soap-bar-4-pk,Title,"Default Title",,,,,KHRM00382324,0
817252014019-a-la-maison-cream-foot-rosemary-laven-5-fo,Title,"Default Title",,,,,KHRM00386118,0
817252011957-a-la-maison-cream-hand-coconut-1-7-oz,Title,"Default Title",,,,,KHRM00292627,0
817252015184-a-la-maison-cream-hand-holiday-gift-5-1-fo,Title,"Default Title",,,,,KHRM00382437,0
817252011971-a-la-maison-cream-hand-sea-salt-1-7-oz,Title,"Default Title",,,,,KHRM00286125,0
817252012213-a-la-maison-deodorant-sea-salt-fresh-2-4-oz,Title,"Default Title",,,,,KHLV00304933,0
817252010981-a-la-maison-fig-basil-bar-soap-4-bars-value-pack-14-oz,Title,"Default Title",,,,,KHLV00273802,0
817252011308-a-la-maison-fig-basil-liquid-soap-16-9-fl-oz,Title,"Default Title",,,,,KHLV00256555,0
817252014941-a-la-maison-fresh-peppermint-4-pk,Title,"Default Title",,,,,KHRM00382327,0
817252010974-a-la-maison-fresh-sea-salt-bar-soap-4-bars-value-pack-14-oz,Title,"Default Title",,,,,KHLV00273801,84
817252011247-a-la-maison-fresh-sea-salt-bar-soap-8-8-oz,Title,"Default Title",,,,,KHLV00118587,0
817252015115-a-la-maison-goat-milk-with-coconut-oil-4-pk,Title,"Default Title",,,,,KHRM00382328,0
182741000874-a-la-maison-honeysuckle-body-wash-16-9-fl-oz,Title,"Default Title",,,,,KHLV00060253,0
817252011599-a-la-maison-honeysuckle-hand-and-body-lotion-5-fo,Title,"Default Title",,,,,KHLV00273796,0
182741000881-a-la-maison-lavender-aloe-body-wash-16-9-fl-oz,Title,"Default Title",,,,,KHLV00060260,0
182741000324-a-la-maison-liquid-soap-lavender-aloe-16-9,Title,"Default Title",,,,,KHFM00060257,304
817252014507-a-la-maison-liquid-soap-toasted-almond-10-fo,Title,"Default Title",,,,,KHRM00382436,0
817252014460-a-la-maison-liquid-soap-warm-vanilla-10-fo,Title,"Default Title",,,,,KHRM00382435,0
817252011575-a-la-maison-lotion-fig-basil-5-fo,Title,"Default Title",,,,,KHLV00273795,0
817252010080-a-la-maison-oat-milk-soap-bar-4pk-14-oz,Title,"Default Title",,,,,KHRM00118575,0
817252014026-a-la-maison-peppermint-tea-tree-foot-cream-5-fo,Title,"Default Title",,,,,KHRM00386119,55
817252014491-a-la-maison-peppermint-tea-4-pk,Title,"Default Title",,,,,KHRM00382326,0
817252011490-a-la-maison-plumeria-liquid-soap-16-9-fo,Title,"Default Title",,,,,KHRM00387453,319
817252015580-a-la-maison-provence-lemon-soap-refill-33-8-fo,Title,"Default Title",,,,,KHRM00387711,116
817252010950-a-la-maison-pure-coconut-bar-soap-4-bars-value-pack-14-oz,Title,"Default Title",,,,,KHLV00273799,0
817252010905-a-la-maison-rose-lilac-bar-soap-8-8-oz,Title,"Default Title",,,,,KHLV00267217,0
817252015733-a-la-maison-rosemary-lavender-soap-bar-14-1-oz,Title,"Default Title",,,,,KHRM00387455,162
182741000287-a-la-maison-rosemary-mint-bar-soap-8-8-oz,Title,"Default Title",,,,,KHLV00060231,58
182741000911-a-la-maison-rosemary-mint-body-wash-16-9-fl-oz,Title,"Default Title",,,,,KHLV00060256,0
817252015566-a-la-maison-rosemary-mint-soap-refill-33-8-fo,Title,"Default Title",,,,,KHRM00387452,0
817252015078-a-la-maison-sanitizer-hand-lemon-verb-10-fo,Title,"Default Title",,,,,KHRM00375117,0
817252014798-a-la-maison-sanitizer-hand-unscented-10-fo,Title,"Default Title",,,,,KHRM00375112,0
817252012886-a-la-maison-soap-bar-earth-spa-charcoal-8-8-oz,Title,"Default Title",,,,,KHLV00336307,0
817252012909-a-la-maison-soap-bar-earth-spa-coconut-charcoal-8-8-oz,Title,"Default Title",,,,,KHLV00336308,0
817252012916-a-la-maison-soap-bar-earth-spa-red-clay-8-8-oz,Title,"Default Title",,,,,KHLV00336309,0
817252012879-a-la-maison-soap-bar-earth-spa-sea-mud-8-8-oz,Title,"Default Title",,,,,KHLV00336304,0
817252012862-a-la-maison-soap-bar-earth-spa-seaweed-8-8-oz,Title,"Default Title",,,,,KHLV00336306,0
182741000317-a-la-maison-soap-liquid-french-rosemary-mint-16-9-fo,Title,"Default Title",,,,,KHLV00060239,64
817252011223-a-la-maison-soap-liquid-fresh-sea-salt-16-9-fo,Title,"Default Title",,,,,KHLV00256401,260
817252010967-a-la-maison-sweet-almond-bar-soap-4-bars-value-pack-14-oz,Title,"Default Title",,,,,KHLV00273800,548
182741000539-a-la-maison-sweet-almond-bar-soap-8-8-oz,Title,"Default Title",,,,,KHFM00060241,152
817252011230-a-la-maison-sweet-almond-liquid-soap-16-9-oz,Title,"Default Title",,,,,KHRM00267221,497
817252011216-a-la-maison-yuzu-lime-liquid-soap-16-9-fl-oz,Title,"Default Title",,,,,KHLV00118640,0
856979006129-a-la-mode-ice-cream-bars-speed-bump-4-bars-x-2-88-oz-11-52-oz,Title,"Default Title",,,,,KHFM00309453,0
856979006112-a-la-mode-ice-cream-cups-partly-cloudy-4-cups-14-oz,Title,"Default Title",,,,,KHFM00309454,0
856979006105-a-la-mode-ice-cream-cups-pink-sprinkle-4-cups-14-oz,Title,"Default Title",,,,,KHFM00309456,0
856979006143-a-la-mode-partly-cloudy-ice-cream-bar-blue-cotton-candy-8-8-oz,Title,"Default Title",,,,,KHFM00319540,0
856979006488-a-la-mode-vanilla-ice-cream-bar-8-8-oz,Title,"Default Title",,,,,KHFM00319542,0
672917079365-a-lolivier-oil-olive-in-drum-25-36-oz,Title,"Default Title",,,,,KHLV00307477,4
672917091565-a-lolivier-oil-olive-lemon-thyme-5-0-fo,Title,"Default Title",,,,,KHLV00307460,0
672917034050-a-lolivier-vinegar-apple-cider-normandy-8-4-fo,Title,"Default Title",,,,,KHLV00307479,0
672917071833-a-lolivier-vinegar-fig-8-4-fo,Title,"Default Title",,,,,KHLV00307473,0
672917071840-a-lolivier-vinegar-passion-fruit-8-4-fo,Title,"Default Title",,,,,KHLV00307474,0
672917074292-a-lolivier-vinegar-pepper-french-basque-8-4-fo,Title,"Default Title",,,,,KHLV00307476,0
672917071826-a-lolivier-vinegar-raspberry-fruit-8-4-fo,Title,"Default Title",,,,,KHLV00307411,0
672917034067-a-lolivier-vinegar-red-wine-shallot-8-4-fo,Title,"Default Title",,,,,KHLV00307461,0
672917033510-a-lolivier-vinegar-white-wine-reims-8-4-fo,Title,"Default Title",,,,,KHLV00307463,0
672917034074-a-lolivier-vinegar-wine-bordeaux-8-4-fo,Title,"Default Title",,,,,KHLV00307475,0
070650800138-a-taste-of-thai-coconut-milk-lite-gluten-free-13-5-oz,Title,"Default Title",,,,,KHFM00024431,1244
070650800121-a-taste-of-thai-coconut-milk-13-5-oz,Title,"Default Title",,,,,KHFM00016611,1624
070650800763-a-taste-of-thai-quick-meal-pad-thai-noodles-5-75-oz,Title,"Default Title",,,,,KHFM00529917,875
070650800152-a-taste-of-thai-spicy-peanut-bake-3-5-oz,Title,"Default Title",,,,,KHFM00018678,462
070650800817-a-taste-of-thai-thin-rice-noodles-16-oz,Title,"Default Title",,,,,KHFM00121627,1361
021718412787-a-vogel-herbed-sea-salt-4-4-oz,Title,"Default Title",,,,,KHCH00662817,811
364031513800-a-vogel-soothing-pine-cough-drops-18-lozenges,Title,"Default Title",,,,,KHFM00475806,212
054400000092-a-1-original-steak-sauce-5-oz,Title,"Default Title",,,,,KHCH00308637,3400
813267020021-a2-milk-1-low-fat-milk-59-oz,Title,"Default Title",,,,,KHCH00475152,0
813267020014-a2-milk-2-reduced-fat-milk-59-oz,Title,"Default Title",,,,,KHCH00475137,0
813267020106-a2-milk-chocolate-2-reduced-fat-milk-59-fl-oz,Title,"Default Title",,,,,KHFM00297910,0
813267020076-a2-milk-milk-2-percent-59-fl-oz,Title,"Default Title",,,,,KHFM00297909,0
813267020007-a2-milk-ultra-pasteurized-whole-milk-59-oz,Title,"Default Title",,,,,KHFM00475145,0
014616221100-abbotsford-farms-cage-free-100-liquid-egg-whites-16-oz,Title,"Default Title",,,,,KHCH00449397,9
044261490569-abe-s-vegan-chocolate-chip-muffins-10-oz,Title,"Default Title",,,,,KHFM00102229,0
044261490866-abe-s-vegan-coconut-carrot-cake-muffins-10-oz,Title,"Default Title",,,,,KHFM00102231,0
044261490460-abe-s-vegan-wild-blueberry-smash-muffins-10-oz,Title,"Default Title",,,,,KHFM00102227,0
888003764262-abena-large-bladder-protection-pants-14-ct,Title,"Default Title",,,,,KHRM00376426,0
888003765252-abena-male-guard-formula-1-15-ct,Title,"Default Title",,,,,KHRM00376525,0
888003765825-abena-male-guard-formula-2-15-ct,Title,"Default Title",,,,,KHRM00376582,17
888003763920-abena-medium-size-bladder-protective-pants-14-ct,Title,"Default Title",,,,,KHRM00376392,0
888003764347-abena-mini-light-bladder-protection-pads-20-ct,Title,"Default Title",,,,,KHRM00376434,0
888003765177-abena-pad-extra-bladder-ctrl-10-ct,Title,"Default Title",,,,,KHRM00376517,0
888003765092-abena-pad-normal-bladder-ctrl-12-ct,Title,"Default Title",,,,,KHRM00376509,0
190509001957-abena-pre-moistened-cleansing-wipes-48-pk,Title,"Default Title",,,,,KHRM00376936,0
044261730078-abes-coffe-cake-vegan-pound-cake-14-oz,Title,"Default Title",,,,,KHCH00322706,0
044261730276-abes-ginger-spice-pound-cake-14-oz,Title,"Default Title",,,,,KHCH00337062,0
044261730177-abes-ultimate-lemon-pound-cake-14-oz,Title,"Default Title",,,,,KHCH00337061,0
073490180460-absolutely-gluten-free-barbecue-potato-crisps-1-41-oz,Title,"Default Title",,,,,KHRM00352473,0
073490180347-absolutely-gluten-free-barbecue-potato-crisps-4-9-oz,Title,"Default Title",,,,,KHRM00352471,0
073490180439-absolutely-gluten-free-chews-coconut-with-cocoa-nibs-5-oz,Title,"Default Title",,,,,KHLV00312451,0
073490180446-absolutely-gluten-free-chews-coconut-with-cranberry-nib-5-oz,Title,"Default Title",,,,,KHLV00312452,0
073490180064-absolutely-gluten-free-cracker-gluten-free-cracked-pepper-4-4-oz,Title,"Default Title",,,,,KHLV00061177,1021
073490180040-absolutely-gluten-free-cracker-gluten-free-original-4-4-oz,Title,"Default Title",,,,,KHLV00061194,3240
073490180057-absolutely-gluten-free-cracker-gluten-free-toasted-onion-4-4-oz,Title,"Default Title",,,,,KHLV00061178,663
073490180033-absolutely-gluten-free-flatbread-everything-5-29-oz,Title,"Default Title",,,,,KHFM00214254,1340
073490180026-absolutely-gluten-free-flatbread-gf-tstd-onion-5-29-oz,Title,"Default Title",,,,,KHRM00061193,234
073490180033-absolutely-gluten-free-flatbread-gluten-free-everything-5-29-oz,Title,"Default Title",,,,,KHLV00068131,1346
073490180019-absolutely-gluten-free-flatbread-gluten-free-original-5-29-oz,Title,"Default Title",,,,,KHLV00061183,1339
073490180286-absolutely-gluten-free-macaroon-coconut-absolutely-10-oz,Title,"Default Title",,,,,KHLV00287438,0
073490180293-absolutely-gluten-free-macaroon-coconut-with-chocolate-10-oz,Title,"Default Title",,,,,KHLV00287439,0
073490180477-absolutely-gluten-free-onion-garlic-potato-crisps-1-41-oz,Title,"Default Title",,,,,KHRM00352474,0
073490180354-absolutely-gluten-free-onion-garlic-potato-crisps-4-9-oz,Title,"Default Title",,,,,KHRM00352475,672
073490180453-absolutely-gluten-free-original-potato-crisps-1-41-oz,Title,"Default Title",,,,,KHRM00352472,0
073490180330-absolutely-gluten-free-original-potato-crisps-4-9-oz,Title,"Default Title",,,,,KHRM00352470,0
724250784014-absorbaid-digestion-and-stomach-distress-veggie-capsules-240-tb,Title,"Default Title",,,,,KHCH00023648,0
724250784045-absorbaid-digestive-support-vcaps-90-tb,Title,"Default Title",,,,,KHCH00018291,0
724250784106-absorbaid-vcaps-platinum-120-vc,Title,"Default Title",,,,,KHLV00253175,0
724250784076-absorbaid-vcaps-platinum-60-cp,Title,"Default Title",,,,,KHLV00121649,0
028000525538-abuelita-instant-hot-chocolate-mix-8-1oz-8-oz,Title,"Default Title",,,,,KHCH00108219,0
898685001166-acai-roots-organic-premium-acai-juice-32-fl-oz,Title,"Default Title",,,,,KHFM00696534,3
047800513194-accent-flavor-enhancer-10-oz,Title,"Default Title",,,,,KHRM00026478,1693
685864009910-acetum-glaze-balsamic-blaze-fig-7-3-oz,Title,"Default Title",,,,,KHLV01346154,0
041508600309-acqua-panna-natural-spring-water-1-liter,Title,"Default Title",,,,,KHFM00934638,0
041508634489-acqua-panna-panna-water-750-ml-glass-25-36-fl-oz,Title,"Default Title",,,,,KHFM00397646,3753
023402087332-activfit-ultra-thin-pizza-crust-sprouted-grain-14-25-oz,Title,"Default Title",,,,,KHFM00322261,238
813424021021-acure-body-beautiful-conditioner-pear-fig-12-fl-oz,Title,"Default Title",,,,,KHFM00316168,0
813424021014-acure-body-beautiful-shampoo-pear-fig-12-fl-oz,Title,"Default Title",,,,,KHFM00316167,0
